"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.mitchellbosecke.benchmark.Beetl.benchmark","thrpt",1,10,34567.034067,256.611434,"ops/s"
"com.mitchellbosecke.benchmark.Enjoy.benchmark","thrpt",1,10,43397.858868,311.698419,"ops/s"
"com.mitchellbosecke.benchmark.Freemarker.benchmark","thrpt",1,10,18605.095597,253.901824,"ops/s"
"com.mitchellbosecke.benchmark.GroovyGString.benchmark","thrpt",1,10,28099.659345,138.452017,"ops/s"
"com.mitchellbosecke.benchmark.GroovySimple.benchmark","thrpt",1,10,26661.762562,192.918488,"ops/s"
"com.mitchellbosecke.benchmark.Handlebars.benchmark","thrpt",1,10,19829.242275,176.739070,"ops/s"
"com.mitchellbosecke.benchmark.Httl.benchmark","thrpt",1,10,59528.885176,3592.574581,"ops/s"
"com.mitchellbosecke.benchmark.Jet.benchmark","thrpt",1,10,45397.569038,668.152876,"ops/s"
"com.mitchellbosecke.benchmark.Jtwig.benchmark","thrpt",1,10,3385.341930,31.189234,"ops/s"
"com.mitchellbosecke.benchmark.Mustache.benchmark","thrpt",1,10,22671.380353,465.539727,"ops/s"
"com.mitchellbosecke.benchmark.Mvel.benchmark","thrpt",1,10,18540.058018,179.712988,"ops/s"
"com.mitchellbosecke.benchmark.Pebble.benchmark","thrpt",1,10,28663.257842,305.973870,"ops/s"
"com.mitchellbosecke.benchmark.Rocker.benchmark","thrpt",1,10,40469.989336,199.977092,"ops/s"
"com.mitchellbosecke.benchmark.Thymeleaf.benchmark","thrpt",1,10,5969.075010,26.323133,"ops/s"
"com.mitchellbosecke.benchmark.Trimou.benchmark","thrpt",1,10,25315.291537,183.019520,"ops/s"
"com.mitchellbosecke.benchmark.Velocity.benchmark","thrpt",1,10,21306.505778,237.284510,"ops/s"
